"paper_id","coder","paper_title","criterion category","criterion label","new criterion label","normative framing","text evidence","is prerequisite for","depends on","can be automated","LLM involved","notes"
7,"Amelia","Tools and techniques for computational reproducibility","Availability","code deposit",,"injunctive","""no amount of narrative is an adequate substitute for providing the actual commands that were used"" (p.3); ""a better alternative is to store them in a public repository with a permanent URL"" (p.3)",,,"unclear",,
7,"Amelia","Tools and techniques for computational reproducibility","Availability","data documentation",,"injunctive","""narratives should indicate the exact software versions used, the order in which they were executed, and all non-default parameters that were specified"" (p.2–3)",,,"no",,
7,"Amelia","Tools and techniques for computational reproducibility","Availability","data provenance",,"injunctive","""It is most useful when scientists provide direct access to an archived version of the code via a uniform resource locator (URL)"" (p.3)",,,"unclear",,"this is actually an explicit statement of code provenance, not data provenance"
7,"Amelia","Tools and techniques for computational reproducibility","Executability","dependency resolution",,"injunctive","""it is essential to explicitly document any software dependencies and input data that are required for each step"" (p.3); ""it is critical to indicate which dependencies (and versions thereof) must be installed"" (p.4)","computing environment",,"yes","no",
7,"Amelia","Tools and techniques for computational reproducibility","Executability","computing environment",,"injunctive","""virtual machines, which can encapsulate an entire operating system and all software, scripts, code, and data necessary to execute a computational analysis"" (p.6–7)",,"dependency resolution","yes","no",
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Availability","data deposit",,"injunctive","""Authors of accepted papers... must provide to the Review, prior to publication, the data, programs, and other details of the computations sufficient to permit replication."" (p. 934) and ""...data must be posted to a trusted repository, and reported analyses will be reproduced independently prior to publication"" (p. 964)",,,"unclear",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Availability","code deposit",,"injunctive","""Authors of accepted papers... must provide to the Review, prior to publication, the data, programs, and other details of the computations sufficient to permit replication."" (p. 934) and ""...data must be posted to a trusted repository, and reported analyses will be reproduced independently prior to publication"" (p. 964)",,,"unclear",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Availability","data documentation",,"injunctive","""...the data used in the analysis are clearly and precisely documented and are readily available..."" (p. 934) and ""The data that was submitted was often an unlabeled and undocumented mess, a problem that has persisted with recent data-sharing policies..."" (p. 934)",,,"unclear",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Executability","computing environment",,"tacit","""...nonlinear maximization methods from different software packages often produced wildly different estimates [and]... not a single AER article had tested their solution across different software packages..."" (p. 934)",,,"unclear",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Consistency","codes consistent with claims",,"injunctive","""...it also includes errors in coding. If an author describes a statistical test in the paper, but the code indisputably does not correctly carry out the test as described, this is also considered a verification failure."" (p. 942)",,,"unclear",,
40,"Amelia","The role of containers in reproducibility","Executability","computing environment",,"injunctive","""In the paper, we posit that containers can play a critical role in aiding in reproducibility."" (p. 19) and ""Use a well defined base image that is carefully tagged. The most reliable way is to use the hash tag reference for the image"" (p. 22)",,,"unclear",,
40,"Amelia","The role of containers in reproducibility","Executability","dependency resolution",,"injunctive","""Any packages installed via a package manager should specify the exact versions to be installed... any dependencies must also be explicitly specified with versions."" (p. 22)",,,"unclear",,
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Availability","data deposit",,"tacit","""In three of the 20 studies, raw data and associated cleaning files were not deposited... we did not classify the resulting errors as indications of failed computational replication"" (p. 463)",,,"unclear",,
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Availability","code deposit",,"tacit","""In three of the 20 studies, raw data and associated cleaning files were not deposited... we did not classify the resulting errors as indications of failed computational replication"" (p. 463)",,,"unclear",,
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Availability","data documentation",,"injunctive","""'clean,' well-documented code with proper metadata will be easier to maintain and should be a matter of routine"" (p. 465)",,,"unclear",,
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Executability","dependency resolution",,"tacit","""three studies relied on packages that had been removed from CRAN (e.g., Design) or updated in ways that made it impossible to run the original syntax (e.g., Zelig)"" (p. 464)",,,"yes","no",
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Executability","computing environment",,"tacit","""The replication archive and the computing environment as it existed at the moment of deposit... are placed in a virtual container guaranteeing that even if the code is run on different machines, the same results will be reproduced"" (p. 464)",,,"unclear",,
