Discrepancy_Type,OpenAlex_ID,DOI,OpenAlex_Title,Zotero_Title,OpenAlex_Year,Zotero_Year,Note
Year,https://openalex.org/W4390009570,10.1177/00986283231219503,Teaching Constructive Replications in the Behavioral and Social Sciences Using Quantitative Data,Teaching constructive replications in the behavioral and social sciences using quantitative data,2023,2025,
Year,https://openalex.org/W4390104160,10.1287/mnsc.2023.03556,Reproducibility in <i>Management Science</i>,Reproducibility in <i>Management Science</i>,2023,2024,
Title,https://openalex.org/W7113782829,,Reproducibility in <i>Management</i> <i>Science</i>,Reproducibility in management science,2024,2024,
"Title, Year",https://openalex.org/W4404631424,10.1111/ecin.13267,Replication code availability over time and across fields: Evidence from the German Socio‐Economic Panel,Replication code availability over time and across fields: evidence from the german socio-economic panel,2024,2025,
"Title, Year",https://openalex.org/W2794804690,10.7818/ECOS.2016.25-2.11,"Reproducible science: What, why, how","Ciencia reproducible: ¿qué, por qué, cómo?",2017,2016,Title is English translation in OpenAlex; Spanish original retrieved by Zotero
Title,https://openalex.org/W3149889935,10.1098/rsta.2020.0069,Learning from reproducing computational results: introducing three principles and the<i>Reproduction Package</i>,Learning from reproducing computational results: introducing three principles and the reproduction package,2021,2021,
Title,https://openalex.org/W2431100065,10.1145/2882903.2899401,ReproZip,ReproZip: computational reproducibility with ease,2016,2016,
Title,https://openalex.org/W4416264751,10.63744/iAqEoznkfKuz,“Works on My Machine”: A Case Study of Replicability Challenges in Computational Humanities Research,“Works on my machine”: a case study of replicability challenges inComputational humanities research,2025,2025,
Title,https://openalex.org/W4412665134,10.31219/osf.io/8pgd7_v1,Docker Image Builder: A Robust Method for Constructing Docker Images for Reproducible Research.,Docker image builder: a robust method for constructing docker images for reproducible research,2025,2025,
Title,https://openalex.org/W3166999527,10.1145/3456287.3465478,Experiences with Reproducibility,Experiences with reproducibility: case studies from scientific workflows,2020,2020,
Title,https://openalex.org/W3208616606,10.5281/zenodo.5521077,The Art of Publishing Reproducible Research Outputs: Supporting emerging practices through cultural and technological innovation.,The art of publishing reproducible research outputs: supporting emerging practices through cultural and technological innovation,2021,2021,
Year,https://openalex.org/W4384153908,10.1080/26939169.2023.2234425,Teaching Reproducible Methods in Economics at Liberal Arts Colleges: A Survey,Teaching reproducible methods in economics at liberal arts colleges: a survey,2023,2024,
Year,https://openalex.org/W2951565607,10.1145/3311955,"A Survey on Collecting, Managing, and Analyzing Provenance from Scripts","A survey on collecting, managing, and analyzing provenance from scripts",2019,2020,
Year,https://openalex.org/W4403524754,10.1016/j.pacfin.2024.102564,"Perceived problems, causes, and solutions of finance research reproducibility and replicability: A pre-registered report","Perceived problems, causes, and solutions of finance research reproducibility and replicability: a pre-registered report",2024,2025,
Lost OpenAlex ID,https://openalex.org/W7113782829 (lost),,Reproducibility confidentiality data access,Reproducibility confidentiality data access,,2018,AN field overwritten/dropped by Zotero metadata update
Lost OpenAlex ID,https://openalex.org/W4391943942 (lost),10.52843/cassyni.pk8r6p,The future of peer review and reproducible science,The future of peer review and reproducible science,,2024,AN field overwritten/dropped by Zotero metadata update
