"paper_id","coder","paper_title","criterion category","criterion label","new criterion label","normative framing","text evidence","is prerequisite for","depends on","can be automated","LLM involved","notes"
1,"Amelia","An introduction to docker for reproducible research","Availability","code deposit",,"injunctive","""Until such code is available in the first place, one cannot even begin to encounter the problems that the approaches discussed here set out to solve."" (p. 1)",,,"unclear",,
1,"Amelia","An introduction to docker for reproducible research","Availability","data documentation",,"injunctive","""Documentation for complex software environments is stuck between two opposing demands... to make things easier on novice users, documentation must explain details relevant to factors like different operating systems."" (p. 3)",,,"yes","no",
1,"Amelia","An introduction to docker for reproducible research","Executability","dependency resolution",,"injunctive","""A Docker based approach works similarly to a virtual machine image in addressing the dependency problem by providing other researchers with a binary image in which all the software has already been installed, configured and tested."" (p. 3)",,"code deposit; data documentation","yes","no",
1,"Amelia","An introduction to docker for reproducible research","Executability","computing environment",,"injunctive","""Docker defines the software environment to a particular operating system and suite of libraries... To address this concern, one must archive a binary copy of the image used at the time the research was first performed."" (p. 4)",,"code deposit; data documentation","yes","no",
1,"Amelia","An introduction to docker for reproducible research","Executability","path resolution",,"tacit","""Docker allows a user to link any directory (such as the working directory for a particular script or project) to the running Docker container."" (p. 5)",,"code deposit; data documentation; computing environment","yes","no",
2,"Amelia","Towards reproducibility in scientific workflows: an infrastructure-based approach","Executability","computing environment",,"injunctive","""The equipment used in a scientific experiment plays a key role on its reproducibility. Without the proper set of tools, it is hard to ensure the execution of the same process obtaining consistent results. In order to guarantee it, we need to document and describe the tools involved (types, brand, provider, version, etc.) and the information for setting it up (calibration, configuration, handling, etc.)"" (p.3)",,"dependency resolution","yes","no",
2,"Amelia","Towards reproducibility in scientific workflows: an infrastructure-based approach","Executability","dependency resolution",,"injunctive","""we query the Software Stacks Dataset to recursively calculate the Requirement Dependency Graph, a directed graph that relates Software Stacks with their dependent ones"" (p.7); graph may contain circular dependencies, handled by tracking visited nodes (p.7)","computing environment",,"yes","no",
3,"Amelia","Reproducing statistical results","Availability","code deposit",,"injunctive","""Availability of computer source code, input data and output data, with some reasonable level of documentation"" — item 8 of the ICERM ""recommended inclusions"" list (p. 11)",,,"unclear",,
3,"Amelia","Reproducing statistical results","Availability","data deposit",,"injunctive","""Availability of computer source code, input data and output data, with some reasonable level of documentation"" — item 8 of the ICERM ""recommended inclusions"" list (p. 11)",,,"unclear",,
3,"Amelia","Reproducing statistical results","Availability","data documentation",,"injunctive","""Complete statements of or references to every algorithm employed... Salient details of software used in the computation... Salient details of data reduction and statistical analysis methods... Instructions for repeating computations described in the paper"" (p. 11)",,,"unclear",,
3,"Amelia","Reproducing statistical results","Availability","new criterion","artifacts longevity/sustainability","injunctive","""Curation: Where are code and data available? With what expected persistence and longevity? Is there a way to access future updates, for example, a version-control repository of the code base?"" (p. 11)",,,"unclear",,
3,"Amelia","Reproducing statistical results","Availability","license",,"injunctive","""Terms of use and licensing. Ideally code and data default to open; that is, they are published under a permissive reuse license"" (p. 11); and ""I suggest that scholarly objects be made openly available using the Reproducible Research Standard... which recommends attribution-only open licensing for code, data, and the research article"" (p. 13)",,,"unclear",,
3,"Amelia","Reproducing statistical results","Executability","new criterion","version control","injunctive","""Curation: Where are code and data available? With what expected persistence and longevity? Is there a way to access future updates, for example, a version-control repository of the code base?"" (p. 11)",,,"unclear",,
3,"Amelia","Reproducing statistical results","Executability","computing environment",,"injunctive","""[ResearchCompendia] extends the ideas of Gentleman & Temple Lang (2007) to facilitate reproducibility in computational science by persistently linking the data and code that generated published findings to the article and by executing the code in the cloud to validate or certify those findings"" (p. 12)",,,"unclear",,
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","Availability","data documentation",,"injunctive","""The lack of reproducibility of computational results is oftentimes attributed to missing information about critical computational details such as library versions, parameter values, or precise descriptions of the exact code that was run"" (p.46)",,,"yes","no",
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","Availability","data provenance",,"injunctive","""Chases... are metadata describing the specific code that was used in the computation and how it was called, i.e. they chase the provenance of the results"" (p.48)",,,"yes","no",
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","Executability","new criterion","version control","tacit","""get_git_revision()"" listed as a captured metadata field (Fig.3, p.48); separately, of their own package: ""The source code is under version control using Git"" (p.49)",,,"yes","no",
5,"Amelia","ReproZip: computational reproducibility with ease","Availability","code deposit",,"injunctive","""researchers should create a compendium that encompasses all the components that are required to reproduce the experiment's results, including data, code, software, library dependencies, and information about the source computational environment"" (p. 2085)",,,"unclear",,
5,"Amelia","ReproZip: computational reproducibility with ease","Availability","data deposit",,"injunctive","""researchers should create a compendium that encompasses all the components that are required to reproduce the experiment's results, including data, code, software, library dependencies, and information about the source computational environment"" (p. 2085)",,,"unclear",,
5,"Amelia","ReproZip: computational reproducibility with ease","Executability","dependency resolution",,"injunctive","""researchers should create a compendium that encompasses all the components that are required to reproduce the experiment's results, including data, code, software, library dependencies, and information about the source computational environment"" (p. 2085)",,,"yes","no",
5,"Amelia","ReproZip: computational reproducibility with ease","Executability","computing environment",,"injunctive","""researchers should create a compendium that encompasses all the components that are required to reproduce the experiment's results, including data, code, software, library dependencies, and information about the source computational environment"" (p. 2085)",,,"yes","no",
6,"Amelia","A manifesto for data sharing in social media research","Availability","data deposit",,"injunctive","A researcher ""could mostly fulfil the reproducibility requirements by sharing the tweet IDs at a conference website or in a repository, making available code for accessing, cleaning, processing and analyzing the data in a repository... and explain her/his methodology in as much detail as possible"" (p.169, Sec 3.3.2)",,,"unclear",,
6,"Amelia","A manifesto for data sharing in social media research","Availability","code deposit",,"injunctive","A researcher ""could mostly fulfil the reproducibility requirements by sharing the tweet IDs at a conference website or in a repository, making available code for accessing, cleaning, processing and analyzing the data in a repository... and explain her/his methodology in as much detail as possible"" (p.169, Sec 3.3.2)",,,"unclear",,
