openalex_id,title,retrieved_by,n_queries
https://openalex.org/W1002603723,Dis/Locating gendered readings : moving towards a critical pedagogy of estrangement,Q4,1
https://openalex.org/W1136872165,The effect of velocity and familiarisation on the reproducibility of isokinetic dynamometry,Q2,1
https://openalex.org/W1269375925,Hearing loss in young children : challenges in assessment and intervention,Q2,1
https://openalex.org/W1415362898,Expanding the Catalytic Triad in Epoxide Hydrolases and Related Enzymes,Q1,1
https://openalex.org/W1423512284,Evaluating the experience of the Olympic and Paralympic Games in the career histories of elite equestrian athletes.,"Q2, Q12, Q13",3
https://openalex.org/W1526247053,Microswimmers and microfluidics: Understanding and manipulating the locomotion of undulatory microswimmers,Q1,1
https://openalex.org/W1536888013,Quality Control in Survey Design: Evaluating a Survey of Educators’ Attitudes Concerning Differentiated Compensation,Q2,1
https://openalex.org/W1547949379,Spirometry and bronchodilator responsiveness in wheezing preschool children,Q2,1
https://openalex.org/W1548532423,Commentary: “Estrogenic and Anti-Androgenic Endocrine Disrupting Chemicals and Their Impact on the Male Reproductive System”,Q2,1
https://openalex.org/W1549126909,PROV-O-Viz - Understanding the Role of Activities in Provenance,Q1,1
https://openalex.org/W1568953089,Turbulence Modeling of Flows with Extensive Crossflow Separation,Q1,1
https://openalex.org/W1574680346,An introduction to Docker for reproducible research,Q1,1
https://openalex.org/W1602369286,Tropical Cyclone Tornadoes: A Review of Knowledge in Research and Prediction,Q2,1
https://openalex.org/W1609898525,Reference Equation for Respiratory Pressures in Pediatric Population: A Multicenter Study,Q2,1
https://openalex.org/W1628796835,Numerical reproducibility: Feasibility issues,Q4,1
https://openalex.org/W1639242675,Reaction Diffusion Voronoi Diagrams: From Sensors Data to Computing,Q1,1
https://openalex.org/W1639543880,Effectiveness of Plaque Removal Using Indicating-Dye Toothpaste Versus Traditional Toothpaste,Q2,1
https://openalex.org/W1645954332,Assessments of endothelial function and arterial stiffness are reproducible in patients with COPD,Q2,1
https://openalex.org/W1658424292,Reproducibility of the six-minute walk test and Glittre ADL-test in patients hospitalized for acute and exacerbated chronic lung disease,Q2,1
https://openalex.org/W1718003495,Mechanical modeling and simulation of collagen fibers and fibrils:microscopic deformation mechanism caused by spiral structure,Q1,1
