"part","variable","field_type","description"
"B1","paper_id","identifier","No. in 10_final_set.xlsx, matched from the sheet's paper ID column"
"B1","coder","identifier","Coder the row came from (the workbook it was read from, not the free-text 'coder name' column)"
"B1","paper_title","derived","Joined from 10_final_set.xlsx"
"B1","operationalization category","categorical","Which of the four B1 indicators this row describes: Classification, Unit, Coverage, or Statistical criterion"
"B1","operationalization value","categorical","Coded value for the category above. Classification: Binary/Ordinal/Continuum/Not specified. Unit: Paper-level/Claim-level/Not specified. Coverage: All claims/Only focal claim/Fixed n of claims/Sampled/Not specified. Statistical criterion is free text instead (see criteria_codebook_values.csv, which excludes it)."
"B1","text evidence","free_text","Verbatim quote supporting the code"
"B1","notes","free_text","Coder's own notes"
"B2","paper_id","identifier","No. in 10_final_set.xlsx, matched from the sheet's paper ID column"
"B2","coder","identifier","Coder the row came from (the workbook it was read from, not the free-text 'coder name' column)"
"B2","paper_title","derived","Joined from 10_final_set.xlsx"
"B2","criterion category","categorical","Reproducibility dimension the criterion belongs to: Availability, Executability, or Consistency"
"B2","criterion label","categorical","The specific criterion invoked (e.g. Data deposit, Code deposit, Path resolution). 'new criterion' flags a label not in the controlled list; see new criterion label"
"B2","new criterion label","free_text","Coder-written label when criterion label = 'new criterion'"
"B2","normative framing","categorical","How the criterion is stated: Injunctive (rule/requirement), Descriptive (observed common practice), Tacit (inferred, never stated explicitly), or Unclear"
"B2","text evidence","free_text","Verbatim quote supporting the code"
"B2","is prerequisite for","free_text","Criterion label(s) this one is a prerequisite for (semicolon-separated); feeds the dependency DAG"
"B2","depends on","free_text","Criterion label(s) this one depends on (semicolon-separated); feeds the dependency DAG"
"B2","can be automated","categorical","Per the paper: yes (automated), no (should be manual), or unclear"
"B2","LLM involved","categorical","Whether an LLM is involved in the automation; coded only when can be automated = yes"
"B2","notes","free_text","Coder's own notes"
